Filename,FileVersion,FileSize,Date,Time,Platform
Ajaxcontroltoolkit.dll,15.0.1497.12,"96,672",2021-02-13,16:42:00,x86
Cafe_owaauth_dll,15.0.1497.12,"91,584",2021-02-13,16:42:00,x64
Cts_microsoft.exchange.data.common.dll,15.0.1497.12,"1,653,240",2021-02-13,16:43:00,x86
Dup_cts_microsoft.exchange.data.common.dll,15.0.1497.12,"1,653,240",2021-02-13,16:43:00,x86
Dup_ext_microsoft.exchange.data.transport.dll,15.0.1497.12,"396,784",2021-02-13,16:44:00,x86
Edgetransport.exe,15.0.1497.12,"40,936",2021-02-13,16:43:00,x86
Exrpc32.dll,15.0.1497.12,"1,683,392",2021-02-13,16:43:00,x64
Exsetdata.dll,15.0.1497.12,"1,749,928",2021-02-13,16:42:00,x64
Exsetup.exe,15.0.1497.12,"35,336",2021-02-13,16:43:00,x86
Exsetupui.exe,15.0.1497.12,"199,176",2021-02-13,16:43:00,x86
Ext_microsoft.exchange.data.transport.dll,15.0.1497.12,"396,784",2021-02-13,16:44:00,x86
Microsoft.dkm.proxy.dll,15.0.1497.12,"32,688",2021-02-13,16:44:00,x86
Microsoft.exchange.addressbook.service.dll,15.0.1497.12,"218,608",2021-02-13,16:43:00,x86
Microsoft.exchange.airsynchandler.dll,15.0.1497.12,"59,392",2021-02-13,16:44:00,x86
Microsoft.exchange.anchorservice.dll,15.0.1497.12,"137,696",2021-02-13,16:43:00,x86
Microsoft.exchange.antispamupdatesvc.exe,15.0.1497.12,"27,624",2021-02-13,16:43:00,x86
Microsoft.exchange.approval.applications.dll,15.0.1497.12,"53,192",2021-02-13,16:42:00,x86
Microsoft.exchange.assistants.dll,15.0.1497.12,"339,392",2021-02-13,16:43:00,x86
Microsoft.exchange.auditlogsearchservicelet.dll,15.0.1497.12,"70,648",2021-02-13,16:44:00,x86
Microsoft.exchange.authadminservicelet.dll,15.0.1497.12,"36,320",2021-02-13,16:44:00,x86
Microsoft.exchange.authservicehostservicelet.dll,15.0.1497.12,"15,832",2021-02-13,16:44:00,x86
Microsoft.exchange.autodiscover.dll,15.0.1497.12,"360,416",2021-02-13,16:43:00,x86
Microsoft.exchange.autodiscoverv2.dll,15.0.1497.12,"31,680",2021-02-13,16:43:00,x86
Microsoft.exchange.batchservice.dll,15.0.1497.12,"33,208",2021-02-13,16:42:00,x86
